id,title,year,genres,movie_rating,directors,writers,date_in_theaters,date_on_dvd,box_office_earnings,duration,studios,audience_rating,num_of_audience_rating,actors,movie_description
0,Jumanji: Welcome to the Jungle,2017,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy, ","PG-13 (for adventure action, suggestive content and some language)","Jake Kasdan,","Chris McKenna,Erik Sommers,Scott Rosenberg,Jeff Pinkner,","Dec 20, 2017",,"$245,606,319",112 minutes,"Columbia Pictures,",4.4/5,"27,289","Dwayne Johnson,Jack Black,Kevin Hart,Karen Gillan,Nick Jonas,Bobby Cannavale,Ser'Darius Blain,Madison Iseman,Morgan Turner,Alex Wolff,Missi Pyle,","When four high-school kids discover an old video game console with a game they've never heard of--Jumanji--they are immediately drawn into the game's jungle setting, literally becoming the avatars they chose: gamer Spencer becomes a brawny adventurer (Dwayne Johnson); football jock Fridge loses (in his words) ""the top two feet of his body"" and becomes an Einstein (Kevin Hart); popular girl Bethany becomes a middle-aged male professor (Jack Black); and wallflower Martha becomes a badass warrior (Karen Gillan). What they discover is that you don't just play Jumanji--you must survive it. To beat the game and return to the real world, they'll have to go on the most dangerous adventure of their lives, discover what Alan Parrish left 20 years ago, and change the way they think about themselves--or they'll be stuck in the game forever..."
1,Paddington 2,2018,"Animation, Comedy, Kids & Family, ",PG (for some action and mild rude humor),"Paul King (VII) ,","Paul King (VII) ,Simon Farnaby,","Jan 12, 2018",,,105 minutes,"Warner Bros. Pictures,",4.4/5,"4,876","Hugh Grant,Ben Whishaw,Brendan Gleeson,Hugh Bonneville,Sally Hawkins,Julie Walters,Jim Broadbent,Peter Capaldi,Madeleine Harris,Samuel Joslin,Imelda Staunton,","PADDINGTON 2 finds Paddington happily settled with the Brown family in Windsor Gardens, where he has become a popular member of the community, spreading joy and marmalade wherever he goes. While searching for the perfect present for his beloved Aunt Lucy's hundredth birthday, Paddington spots a unique pop-up book in Mr. Gruber's antique shop, and embarks upon a series of odd jobs to buy it. But when the book is stolen, it's up to Paddington and the Browns to unmask the thief... Helmed by twice BAFTA nominated director Paul King, PADDINGTON 2 is co-produced by multi award-winning David Heyman / Heyday Films (producer of all eight of the HARRY POTTER films, GRAVITY, THE BOY IN THE STRIPED PYJAMAS, FANTASTIC BEASTS AND WHERE TO FIND THEM) and StudioCanal, who will also distribute in the UK, France, Germany, Australia and New Zealand. PADDINGTON is based on the best-selling and internationally adored series of children's stories by British author Michael Bond, which have sold more than 35 million copies worldwide, been translated into over 40 languages and captured the imagination of children and adults around the globe."
2,Blade Runner 2049,2017,"Action & Adventure, Drama, Science Fiction & Fantasy, ","R (for violence, some sexuality, nudity and language)","Denis Villeneuve,","Michael Green,Hampton Fancher,","Oct 6, 2017","Jan 16, 2018","$91,800,042",164 minutes,"Warner Bros. Pictures,",4.1/5,"54,935","Ryan Gosling,Harrison Ford,Ana de Armas,Sylvia Hoeks,Robin Wright,Mackenzie Davis,Carla Juri,Lennie James,Jared Leto,Dave Bautista,","Thirty years after the events of the first film, a new blade runner, LAPD Officer K (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former LAPD blade runner who has been missing for 30 years."
3,Hostiles,2018,"Action & Adventure, Drama, Western, ","R (for strong violence, and language)","Scott Cooper,","Scott Cooper,","Jan 26, 2018",,"$402,903",135 minutes,,,"2,473","Christian Bale,Rosamund Pike,Wes Studi,Jesse Plemons,Adam Beach,Rory Cochrane,Ben Foster,","Set in 1892, Hostiles tells the story of a legendary Army Captain (Christian Bale), who after stern resistance, reluctantly agrees to escort a dying Cheyenne war chief (Wes Studi) and his family back to tribal lands. Making the harrowing and perilous journey from Fort Berringer, an isolated Army outpost in New Mexico, to the grasslands of Montana, the former rivals encounter a young widow (Rosamund Pike), whose family was murdered on the plains. Together, they must join forces to overcome the punishing landscape, hostile Comanche and vicious outliers that they encounter along the way."
4,Maze Runner: The Death Cure,2018,"Action & Adventure, Drama, Science Fiction & Fantasy, ","PG-13 (for intense sequences of sci-fi violence and action, language, and some thematic elements)","Wes Ball,","T.S. Nowlin,","Jan 26, 2018",,,114 minutes,"20th Century Fox,",,"12,989","Dylan O'Brien (II),Kaya Scodelario,Thomas Sangster,Rosa Salazar,Giancarlo Esposito,Dexter Darden,Aidan Gillen,Ki Hong Lee,Barry Pepper,Patricia Clarkson,Walton Goggins,","In the epic finale to the Maze Runner saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze."
5,American Folk,2018,"Drama, Musical & Performing Arts, ",PG (for thematic elements and language),"David Heinz,","David Heinz,","Jan 26, 2018","Jan 26, 2018",,99 minutes,"Good Deed Entertainment,",,86,"Joe Purdy,Amber Rubarth,Krisha Fairchild,David Fine,Bruce Beatty,","Filmed over 3500 miles in 14 states, musicians Joe Purdy and Amber Rubarth star as two strangers, both folk musicians, whose fates become intertwined after their plane is grounded in California following the September 11th attacks. Both desperately needing to get back to New York, they embark on a cross-country journey in a 1972 Chevy Van. Along the way, the duo finds solace in their mutual love of classic folk songs, and raising their voices with everyday people they meet on the road. They re-discover the healing nature of music and bear witness to a nation of people who lift each other up in the wake of tragedy."
6,Please Stand By,2018,"Comedy, ",PG-13 (for brief strong language),"Ben Lewin,","Michael Golamco,","Jan 26, 2018","Jan 26, 2018",,93 minutes,"Magnolia Pictures,",,142,"Dakota Fanning,Toni Collette,Alice Eve,River Alexander,Marla Gibbs,Jessica Rothe,Patton Oswalt,","A young autistic woman runs away from her caregiver in order to boldly go and deliver her 500-page Star Trek script to a writing competition in Hollywood. On an adventure full of laughter and tears, Wendy, played with exquisite delicacy by Dakota Fanning, follows the guiding spirit of Mr. Spock on her journey into the unknown. ""It is there for us to conquer, not to fear."" Directed by Ben Lewin (The Sessions) and also starring Academy Award (R) Nominee Toni Collette, with a special guest-appearance by Patton Oswalt."
7,Like Me,2018,"Drama, Horror, Mystery & Suspense, ",NR,"Robert Mockler,","Robert Mockler,","Jan 26, 2018",,,80 minutes,,,72,"Addison Timlin,Ian Nelson,Larry Fessenden,Jeremy Gardner,Stuart Rudin,Nicolette Pierini,","A reckless loner (Addison Timlin, FALLEN, LITTLE SISTER) sets out on a crime spree that she broadcasts on social media. After releasing a video of herself robbing a convenience store, she amasses a huge following. While traveling along the coast, she encounters a drifter, an Internet troll, and a paint huffing outsider who are all pulled into her circle of chaos, junk food, and drugs. Robert Mockler's visually arresting debut feature, produced by indie horror veteran Larry Fessenden, takes the viewer into a world of fabricated personalities and offers a thought-provoking portrait of isolation in our increasingly digital world."
8,12 Strong,2018,"Action & Adventure, Drama, ",R (for war violence and language throughout),"Nicolai Fuglsig,","Peter Craig,Ted Tally,","Jan 19, 2018",,,,"Warner Bros. Pictures,",3.8/5,"3,099","Chris Hemsworth,Michael Shannon,Michael Pea,Navid Negahban,Trevante Rhodes,Geoff Stults,Thad Luckinbill,Austin Hbert,Austin Stowell,Ben O'Toole,Kenneth Miller,Kenny Sheard,Jack Kesy,Rob Riggle,William Fichtner,Arshia Mandavi,Elsa Pataky,Laith Nakli,Fahim Fazli,Yousuf Azami,","Chris Hemsworth (""Thor,"" ""The Avengers"" films) and Oscar nominee Michael Shannon (""Revolutionary Road,"" ""Nocturnal Animals"") star in ""12 Strong,"" a powerful new war drama from Alcon Entertainment, Black Label Media and Jerry Bruckheimer Films. Based on the book best-selling book Horse Soldiers, it is story of heroism based on true events that unfolded a world away in the aftermath of 9/11."
9,Den of Thieves,2018,"Action & Adventure, Drama, ","R (for violence, language and some sexuality/nudity)","Christian Gudegast,","Christian Gudegast,Paul Scheuring,","Jan 19, 2018",,,140 minutes,"STX Entertainment,",4/5,"2,342","Gerard Butler,Pablo Schreiber,O'Shea Jackson, Jr.,Brian Van Holt,50 Cent,Sonya Balmores Chung,Evan Jones,","Every day, $120mm in cash is taken out of circulation and destroyed by the Los Angeles Branch of the Federal Reserve - unless a notorious, elite crew of bank robbers can pull off the ultimate heist and get to the money first... right under the noses of LA's most feared division in law enforcement."
10,The Post,2018,"Drama, Mystery & Suspense, ",PG-13 (for language and brief war violence),"Steven Spielberg,","Liz Hannah,Josh Singer,","Jan 12, 2018",,"$3,847,683",,,3.7/5,"7,069","Tom Hanks,Meryl Streep,Alison Brie,Carrie Coon,David Cross,Bruce Greenwood,Tracy Letts,Bob Odenkirk,Sarah Paulson,Jesse Plemons,Matthew Rhys,Michael Stuhlbarg,Bradley Whitford,Zach Woods,Stark Sands,Jessie Mueller,Jon Donahue,","Steven Spielberg directs Meryl Streep and Tom Hanks in The Post, a thrilling drama about the unlikely partnership between The Washington Post's Katharine Graham (Streep), the first female publisher of a major American newspaper, and editor Ben Bradlee (Hanks), as they race to catch up with The New York Times to expose a massive cover-up of government secrets that spanned three decades and four U.S. Presidents. The two must overcome their differences as they risk their careers - and their very freedom - to help bring long-buried truths to light. The Post marks the first time Meryl Streep, Tom Hanks and Steven Spielberg have collaborated on a project. In addition to directing, Spielberg produces along with Amy Pascal and Kristie Macosko Krieger. The script was written by Liz Hannah and Josh Singer, and the film features an acclaimed ensemble cast including Alison Brie, Carrie Coon, David Cross, Bruce Greenwood, Tracy Letts, Bob Odenkirk, Sarah Paulson, Jesse Plemons, Matthew Rhys, Michael Stuhlbarg, Bradley Whitford and Zach Woods."
11,The Greatest Showman,2017,"Drama, Musical & Performing Arts, ",PG (for thematic elements including a brawl),"Michael Gracey,","Jenny Bicks,Bill Condon,","Dec 20, 2017",,,105 minutes,"20th Century Fox,",4.5/5,"16,088","Hugh Jackman,Zac Efron,Michelle Williams,Rebecca Ferguson,Zendaya,Paul Sparks,Gayle Rankin,Tina Benko,Fredric Lehne,Keala Settle,Austyn Johnson,Sam Humphrey,Cameron Seely,Yahya Abdul-Mateen II,Eric Chase Anderson,Ellis Rubin,Skylar Dunn,Daniel Everidge,Radu Spinghel,Yusaku Komori,Danial Son,Will Swenson,Linda Larson,Byron Jennings,Betsy Aidem,Damian Young,Kathryn Meisle,Timothy Hughes,Arnie Burton,Carly Adams,Sawyer Niehaus,Shuler Hensley,Will Erat,James Andrew O'Connor,Jamie Jackson,Morgan Weed,Henry Stram,Michael Barra,Natasha Liu Bordizzo,Luciano Acuna Jr.,Shannon Freyer,Kevin Dwane,Sandi DeGeorge,Tony Neil Butler,Frances Emily Schramm,Kenneth Chan,Stacey Alyse Cohen,Tim Wilson,Jonathon Culver,Jillian Braithwaite,Adam Haas Hunter,Bob Rumnock,Ben Reed,Martha Nichols,Jonathan Redavid,Shannon Holtzapffel,Jeremy Craig Hudson,Taylor James,Chelsea Caso,Caoife Coleman,Mishay Petronelli,Khasan Brailsford,Alex Wong,Julius Rubio,Vincent-Oliver Noiseux,Jessica Castro,Najla Gilliam,Christina Glur,Emerson Tate Alexander,Victoria Llodra,Louise Hindsbro,Laci Justice,GiaNina Paolantonio,Rachel Quiner,Madison Smith,Brando Speach,Daniel 'Cloud' Campos,Rod Roberts,","Inspired by the imagination of P.T. Barnum, The Greatest Showman is an original musical that celebrates the birth of show business & tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
12,The Commuter,2018,"Drama, Mystery & Suspense, ","PG-13 (for some intense action/violence, and language)","Jaume Collet-Serra,","Byron Willinger,Phil de Blasi,Ryan Engle,","Jan 12, 2018",,,105 minutes,"Lionsgate,",3.3/5,"3,502","Liam Neeson,Vera Farmiga,Patrick Wilson,Jonathan Banks,Elizabeth McGovern,Sam Neill,","In this action-packed thriller, Liam Neeson is Michael, an insurance salesman, whose daily commute home quickly becomes anything but routine. After being confronted by a mysterious stranger (Vera Farmiga), Michael is blackmailed into finding the identity of a passenger on his train before the last stop. As he works against the clock to solve the puzzle, Michael is unwittingly caught up in a criminal conspiracy that carries life and death stakes for himself and his fellow passengers."
13,Star Wars: The Last Jedi,2017,"Action & Adventure, Drama, Science Fiction & Fantasy, ",PG-13 (for sequences of sci-fi action and violence),"Rian Johnson,","Rian Johnson,","Dec 15, 2017",,"$572,691,546",152 minutes,"Walt Disney Pictures,",3/5,"179,064","Daisy Ridley,Domhnall Gleeson,Adam Driver,Oscar Isaac,Benicio Del Toro,Mark Hamill,Gwendoline Christie,Carrie Fisher,Laura Dern,Lupita Nyong'o,John Boyega,","In Lucasfilm's Star Wars: The Last Jedi, the Skywalker saga continues as the heroes of The Force Awakens join the galactic legends in an epic adventure that unlocks age-old mysteries of the Force and shocking revelations of the past."
14,Insidious: The Last Key,2018,"Horror, ","PG-13 (for disturbing thematic content, violence and terror, and brief strong language)","Adam Robitel,","Leigh Whannell,","Jan 5, 2018",,"$29,581,355",103 minutes,"Universal Pictures,",3.3/5,"4,328","Lin Shaye,Angus Sampson,Leigh Whannell,Josh Stewart,Caitlin Gerard,Spencer Locke,Javier Botet,Kirk Acevedo,Bruce Davison,Tessa Ferrer,Ava Kolker,","Adam Robitel helms the fourth entry of the Insidious series, with Chapter 3 director Leigh Whannell providing the script, centering around parapsychologist Elise Rainier (Lin Shaye) and her continued voyage into the ""further""."
15,Forever My Girl,2018,"Drama, Musical & Performing Arts, Romance, ","PG (for thematic elements including drinking, and for language)","Bethany Ashton Wolf,","Bethany Ashton Wolf,","Jan 19, 2018",,,104 minutes,"Roadside Attractions and LD Entertainment,",4.5/5,757,"Alex Roe,Jessica Rothe,Abby Ryder Fortson,Judith Hoag,Travis Tritt,John Benjamin Hickey,Tyler Riggs,","Forever My Girl tells the story of country music super-star Liam Page (Alex Roe) who left his bride, Josie (Jessica Rothe), at the altar choosing fame and fortune instead. However, Liam never got over Josie, his one true love, nor did he ever forget his Southern roots in the small community where he was born and raised. When he unexpectedly returns to his hometown for the funeral of his high school best friend, Liam is suddenly faced with the consequences of all that he left behind."
16,Winchester,2018,"Drama, Mystery & Suspense, Science Fiction & Fantasy, ","PG-13 (for violence, disturbing images, drug content, some sexual material and thematic elements)","Michael Spierig,Peter Spierig,","Michael Spierig,Peter Spierig,Tom Vaughan,","Feb 2, 2018",,,,,,955,"Helen Mirren,Jason Clarke,Sarah Snook,Angus Sampson,Finn Scicluna-O'Prey,","Inspired by true events. On an isolated stretch of land 50 miles outside of San Francisco sits the most haunted house in the world. Built by Sarah Winchester, (Academy Award (R)-winner Helen Mirren) heiress to the Winchester fortune, it is a house that knows no end. Constructed in an incessant twenty-four hour a day, seven day a week mania for decades, it stands seven stories tall and contains hundreds of rooms. To the outsider it looks like a monstrous monument to a disturbed woman's madness. But Sarah is not building for herself, for her niece (Sarah Snook) or for the troubled Doctor Eric Price (Jason Clarke) whom she has summoned to the house. She is building a prison, an asylum for hundreds of vengeful ghosts, and the most terrifying among them have a score to settle with the Winchesters..."
