id,title,year,directors,writers,date_in_theaters,duration,genres,actors
0,Ouija: Origin of Evil,2016,Mike Flanagan,"Mike Flanagan,Jeff Howard",10/21/2016,99,"Thriller,Horror","Elizabeth Reaser,Lulu Wilson,Annalise Basso"
1,Doctor Strange,2016,Scott Derrickson,"Jon Spaihts,Scott Derrickson",11/04/2016,115,"Science Fiction & Fantasy,Action & Adventure","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams"
2,Keeping Up with the Joneses,2016,Greg Mottola,Michael LeSieur,10/21/2016,105,"Action & Adventure,Comedy","Zach Galifianakis,Isla Fisher,Jon Hamm"
3,Ghostbusters,2016,Paul Feig,"Katie Dippold,Paul Feig",07/15/2016,116,"Science Fiction & Fantasy,Action & Adventure,Comedy","Melissa McCarthy,Kristen Wiig,Kate McKinnon"
4,Star Trek Beyond,2016,Justin Lin,"Simon Pegg,Doug Jung",07/22/2016,122,"Science Fiction & Fantasy,Action & Adventure","Chris Pine,Zachary Quinto,Karl Urban"
5,Uncle Buck,1990,Tim O'Donnell,,09/08/1990,30,Comedy,"Kevin Meaney,Dah-ve Chodan,Jacob Gelman"
6,Jack Reacher: Never Go Back,2016,Edward Zwick,"Lee Child,Richard Wenk",10/21/2016,118,"Crime,Action & Adventure","Tom Cruise,Cobie Smulders,Aldis Hodge"
7,Boo! A Madea Halloween,2016,Tyler Perry,Tyler Perry,10/21/2016,103,"Horror,Comedy","Tyler Perry,Cassi Davis,Patrice Lovely"
8,Wonder Woman,1975,"William Moulton Marston,Stanley Ralph Ross",,11/07/1975,60,"Drama,Action & Adventure","Lynda Carter,Lyle Waggoner,Tom Kratochvil"
9,The Walking Dead,2010,Frank Darabont,,10/31/2010,44,"Drama,Science Fiction & Fantasy,Horror","Andrew Lincoln,Norman Reedus,Melissa McBride"
10,The Thundermans,2013,Jed Spingarn,,2013,23,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Diego Velazquez,Jack Griffo"
11,Saturday Night Live,1975,Lorne Michaels,,10/11/1975,90,"Musical & Performing Arts,Comedy","Don Pardo,Lenny Pickett,Darrell Hammond"
12,I'm Not Ashamed,2016,Brian Baugh,"Philipa A. Booyens,Robin Hanley",10/21/2016,112,"Drama,Biography","Masey McLain,Ben Davies,Cameron McKendry"
13,Star Wars Rebels,2014,"Simon Kinberg,Carrie Beck,Dave Filoni",,09/26/2014,30,"Animation,Action & Adventure","Taylor Gray,Freddie Prinze Jr.,Tiya Sircar"
14,We Are X,2016,Stephen Kijak,,03/12/2016,93,"Documentary,Musical & Performing Arts","Yoshiki,Toshi,Pata"
15,The Handmaiden,2016,Chan-wook Park,"Seo-Kyung Chung,Chan-wook Park",06/01/2016,144,"Drama,Romance","Min-hee Kim,Jung-woo Ha,Jin-woong Jo"
16,Oasis: Supersonic,2016,Mat Whitecross,,10/26/2016,122,"Documentary,Musical & Performing Arts","Paul Arthurs,Christine Biller,Liam Gallagher"
17,Gimme Danger,2016,Jim Jarmusch,Jim Jarmusch,10/28/2016,108,Documentary,"Iggy Pop,Ron Asheton,Mike Watt"
18,Ae Dil Hai Mushkil,2016,Karan Johar,"Karan Johar,Karan Johar",10/28/2016,,"Drama,Romance,Musical & Performing Arts","Ranbir Kapoor,Anushka Sharma,Aishwarya Rai Bachchan"
19,Inferno,2016,Ron Howard,"Dan Brown,David Koepp",10/28/2016,121,"Crime,Action & Adventure","Tom Hanks,Felicity Jones,Irrfan Khan"
20,Deepwater Horizon,2016,Peter Berg,"Matthew Michael Carnahan,Matthew Sand",09/30/2016,107,"Drama,Thriller,Action & Adventure","Mark Wahlberg,Kurt Russell,Douglas M. Griffin"
21,Miss Peregrine's Home for Peculiar Children,2016,Tim Burton,"Ransom Riggs,Jane Goldman",09/30/2016,127,"Drama,Kids & Family,Action & Adventure","Eva Green,Asa Butterfield,Samuel L. Jackson"
22,Kevin Hart: What Now?,2016,"Leslie Small,Tim Story","Kevin Hart,Joey Wells",10/14/2016,96,"Documentary,Comedy","Kevin Hart,Don Cheadle,Halle Berry"
23,The Girl on the Train,2016,Tate Taylor,"Erin Cressida Wilson,Paula Hawkins",10/07/2016,112,"Thriller,Mystery & Suspense","Emily Blunt,Haley Bennett,Rebecca Ferguson"
24,School of Rock,2016,"Jim Armogida,Steve Armogida",,2016,30,"Kids & Family,Musical & Performing Arts,Comedy","Breanna Yde,Ricardo Hurtado,Jade Pettyjohn"
25,The Accountant,2016,Gavin O'Connor,Bill Dubuque,10/14/2016,128,"Drama,Crime,Action & Adventure","Ben Affleck,Anna Kendrick,J.K. Simmons"
26,Moonlight,2016,Barry Jenkins,"Barry Jenkins,Tarell McCraney",10/21/2016,110,Drama,"Mahershala Ali,Shariff Earp,Duan Sanderson"
27,Dirk Gently's Holistic Detective Agency,2016,Max Landis,,10/22/2016,60,"Science Fiction & Fantasy,Comedy","Christian Bako,Samuel Barnett,Neil Brown Jr."
28,31,2016,Rob Zombie,Rob Zombie,09/16/2016,102,"Thriller,Horror","Malcolm McDowell,Richard Brake,Jeff Daniel Phillips"
29,American Pastoral,2016,Ewan McGregor,"John Romano,Philip Roth",10/28/2016,126,"Drama,Crime","Ewan McGregor,Jennifer Connelly,Dakota Fanning"
30,The Tonight Show with Jay Leno,1992,,,05/25/1992,62,"Musical & Performing Arts,Television,Comedy","Jay Leno,Kevin Eubanks,Edd Hall"
31,The Late Show with Stephen Colbert,2015,,,09/08/2015,62,"Television,Comedy","Stephen Colbert,Jonathan Batiste,Stay Human"
32,Endless Poetry,2016,Alejandro Jodorowsky,Alejandro Jodorowsky,10/05/2016,128,"Drama,Science Fiction & Fantasy,Biography","Adan Jodorowsky,Brontis Jodorowsky,Leandro Taub"
33,The Age of Shadows,2016,Jee-woon Kim,Jee-woon Kim,09/23/2016,140,"Drama,Thriller,Action & Adventure","Byung-hun Lee,Yoo Gong,Kang-ho Song"
34,The Untamed,2016,Amat Escalante,"Amat Escalante,Gibrn Portela",05/15/2016,100,Drama,"Kenny Johnston,Simone Bucio,Simone Bucio"
35,"I, Daniel Blake",2016,Ken Loach,Paul Laverty,10/21/2016,100,Drama,"Dave Johns,Hayley Squires,Sharon Percy"
36,Paterson,2016,Jim Jarmusch,Jim Jarmusch,12/28/2016,113,"Drama,Comedy","Adam Driver,Golshifteh Farahani,Helen-Jean Arthur"
37,Heart of a Dog,2016,Laurie Anderson,Laurie Anderson,03/01/2016,75,Documentary,"Archie,Jason Berg,Heung-Heung Chin"
38,Hillary Clinton/Terry Crews/Ariana Grande,2016,Dave Diomedi,"A.D. Miles,Jonathan Adler",09/19/2016,40,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Hillary Clinton,Terry Crews"
39,Certain Women,2016,Kelly Reichardt,"Maile Meloy,Kelly Reichardt",10/14/2016,107,Drama,"Michelle Williams,Kristen Stewart,Laura Dern"
