_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director
0,0,1225,Ouija: Origin of Evil,"Horror,Mystery",99,70.0,428.0,Mike Flanagan,Ouija: Origin of Evil,"Horror,Mystery",99.0,68.0,10657,"Mike Flanagan,"
1,1,9,Doctor Strange,"Action,Adventure,Fantasy",115,87.0,789.0,Scott Derrickson,Doctor Strange,"Action,Adventure,Science Fiction,Fantasy",130.0,84.0,80698,"Scott Derrickson,"
2,2,114,Keeping Up with the Joneses,"Action,Comedy",105,54.0,273.0,Greg Mottola,Keeping Up With The Joneses,Comedy,101.0,62.0,9673,"Greg Mottola,"
3,3,176,Ghostbusters,"Action,Comedy,Fantasy",116,54.0,103762.0,Paul Feig,Ghostbusters,"Action,Adventure,Comedy,Science Fiction,Fantasy",105.0,62.0,112895,"Paul Feig,"
4,4,180,Star Trek Beyond,"Action,Adventure,Sci-Fi",122,73.0,97109.0,Justin Lin,Star Trek Beyond,"Action,Adventure,Drama,Science Fiction,Fantasy",120.0,78.0,69624,"Justin Lin,"
5,5,13976,Uncle Buck,Comedy,30,59.0,97.0,Tim O'Donnell,Uncle Nick,Comedy,93.0,68.0,94,"Chris Kasick,"
6,6,99,Jack Reacher: Never Go Back,"Action,Adventure,Crime",118,67.0,2086.0,Edward Zwick,Jack Reacher: Never Go Back,"Action,Adventure,Drama",118.0,64.0,24899,"Edward Zwick,"
7,7,100,Boo! A Madea Halloween,"Comedy,Horror",103,61.0,127.0,Tyler Perry,Boo! A Madea Halloween,"Comedy,Drama,Horror",103.0,68.0,9626,"Tyler Perry,"
8,8,8072,Wonder Woman,"Action,Adventure,Drama",60,71.0,4320.0,"William Moulton Marston,Stanley Ralph Ross",Wonder Woman,"Action,Adventure,Science Fiction,Fantasy",,,5555,"Patty Jenkins,"
9,11,2570,Saturday Night Live,"Comedy,Musical",90,82.0,33290.0,Lorne Michaels,Saturday Night,"Documentary,Television",90.0,78.0,402,"James Franco,"
10,12,6393,I'm Not Ashamed,"Biography,Drama",112,75.0,48.0,Brian Baugh,I'm Not Ashamed,Drama,112.0,92.0,2260,"Brian Baugh,"
11,14,4418,We Are X,"Documentary,Musical",93,88.0,71.0,Stephen Kijak,We Are X,Documentary,95.0,92.0,86,"Stephen Kijak,"
12,16,918,Oasis: Supersonic,"Documentary,Musical",122,86.0,543.0,Mat Whitecross,Oasis: Supersonic,Documentary,122.0,84.0,1989,"Mat Whitecross,"
13,17,123,Gimme Danger,Documentary,108,71.0,192.0,Jim Jarmusch,Gimme Danger,Documentary,108.0,72.0,1243,"Jim Jarmusch,"
14,18,8710,Ae Dil Hai Mushkil,"Drama,Musical,Romance",0,,,Karan Johar,Ae Dil Hai Mushkil,"Drama,Musical,Performing Arts,Romance",158.0,58.0,872,"Karan Johar,"
15,19,103,Inferno,"Action,Adventure,Crime",121,65.0,14017.0,Ron Howard,Inferno,"Action,Adventure,Drama,Mystery",121.0,60.0,24649,"Ron Howard,"
16,20,64,Deepwater Horizon,"Action,Drama,Mystery",107,75.0,16701.0,Peter Berg,Deepwater Horizon,"Action,Adventure,Drama",99.0,80.0,35679,"Peter Berg,"
17,21,56,Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",127,71.0,24330.0,Tim Burton,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127.0,72.0,30138,"Tim Burton,"
18,22,919,Kevin Hart: What Now?,"Documentary,Comedy",96,57.0,632.0,"Leslie Small,Tim Story",Kevin Hart: What Now?,Comedy,96.0,72.0,7770,"Leslie Small,Tim Story,"
19,23,63,The Girl on the Train,Mystery,112,67.0,16628.0,Tate Taylor,The Girl on the Train,"Drama,Mystery",112.0,66.0,26683,"Tate Taylor,"
20,25,96,The Accountant,"Action,Crime,Drama",128,78.0,9098.0,Gavin O'Connor,The Accountant,Drama,128.0,80.0,33264,"Gavin O'Connor,"
21,26,97,Moonlight,Drama,110,83.0,713.0,Barry Jenkins,Moonlight,Drama,110.0,88.0,11072,"Barry Jenkins,"
22,28,1474,31,"Horror,Mystery",102,52.0,5245.0,Rob Zombie,31,Horror,103.0,58.0,3495,"Rob Zombie,"
23,29,898,American Pastoral,"Crime,Drama",126,61.0,323.0,Ewan McGregor,American Pastoral,Drama,126.0,60.0,1783,"Ewan McGregor,"
24,29,14556,American Pastoral,"Crime,Drama",126,61.0,323.0,Ewan McGregor,American Storage,"Comedy,Special Interest",,,34,"Andrew Jay Cohen,"
25,35,88,"I, Daniel Blake",Drama,100,81.0,1244.0,Ken Loach,"I, Daniel Blake","Art House,International,Drama",100.0,,2131,"Ken Loach,"
26,36,94,Paterson,"Comedy,Drama",113,77.0,924.0,Jim Jarmusch,Paterson,"Comedy,Drama",115.0,,975,"Jim Jarmusch,"
27,37,6744,Heart of a Dog,Documentary,75,73.0,886.0,Laurie Anderson,Heart of a Dog,Documentary,75.0,74.0,2034,"Laurie Anderson,"
28,39,121,Certain Women,Drama,107,65.0,1161.0,Kelly Reichardt,Certain Women,Drama,107.0,60.0,4014,"Kelly Reichardt,"
29,40,227,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",152,75.0,452864.0,Chris Columbus,Harry Potter and the Sorcerer's Stone,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",152.0,74.0,1153038,"Chris Columbus,"
30,41,56,Deepwater Horizon/Miss Peregrine's Home for Peculiar Children,"Comedy,Television",50,,,,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127.0,72.0,30138,"Tim Burton,"
31,43,3460,The Town,"Crime,Drama,Mystery",125,76.0,283845.0,Ben Affleck,The Town,"Action,Adventure,Drama,Mystery,Romance",151.0,78.0,140527,"Ben Affleck,"
32,44,9793,School of Rock,"Comedy,Family,Musical",108,71.0,213762.0,Richard Linklater,School of Rock,Comedy,116.0,64.0,32783704,"Richard Linklater,"
33,47,86,A Monster Calls,"Drama,Fantasy",108,78.0,1716.0,J.A. Bayona,A Monster Calls,"Comedy,Drama,Science Fiction,Fantasy",108.0,,10277,"J.A. Bayona,"
34,48,12003,Pet,Mystery,94,67.0,177.0,Carles Torrens,Pet,Mystery,90.0,,447,"Carles Torrens,"
35,51,2146,LBJ,Drama,98,78.0,65.0,Rob Reiner,LBJ,Drama,98.0,62.0,66,"Rob Reiner,"
