Id,Title,Category,Duration,Rating,Rating_Count,Director
0,Fantastic Beasts and Where to Find Them,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",132,82,60054,"David Yates (II),"
1,Moana,"Action,Adventure,Animation,Kids,Family",103,88,28616,"Ron Clements,John Musker,Chris Williams,Don Hall,"
2,Jackie,Drama,95,,5341,"Pablo Larran,"
3,Incarnate,"Drama,Horror,Science Fiction,Fantasy",,,1272,"Brad Peyton,"
4,Things to Come (L'avenir),"Art House,International,Drama",100,,1211,"Mia Hansen-Lve,"
5,Finding Dory,Animation,100,82,175300,"Andrew Stanton,Angus MacLane,"
6,Man Down,Drama,90,,1774,"Dito Montiel,"
7,Arrival,"Drama,Mystery,Science Fiction,Fantasy",116,82,41703,"Denis Villeneuve,"
8,Allied,"Action,Adventure,Drama,Romance",124,74,12823,"Robert Zemeckis,"
9,Doctor Strange,"Action,Adventure,Science Fiction,Fantasy",130,84,80698,"Scott Derrickson,"
10,The Eyes of My Mother,"Drama,Horror",77,,973,"Nicolas Pesce,"
11,Trolls,"Animation,Kids,Family",100,76,26232,"Mike Mitchell,Walt Dohrn,"
12,Bad Santa 2,Comedy,92,60,5922,"Mark Waters (VIII),"
13,Almost Christmas,Comedy,120,78,5178,"David E. Talbert,"
14,The Edge of Seventeen,"Comedy,Drama",98,82,13319,"Kelly Fremon Craig,"
15,Hacksaw Ridge,"Action,Adventure,Drama",139,90,25713,"Mel Gibson,"
16,La La Land,"Comedy,Drama,Musical,Performing Arts",128,,10739,"Damien Chazelle,"
17,Office Christmas Party,Comedy,,,6729,"Will Speck,Josh Gordon,"
18,Friend Request,"Art House,International,Horror,Mystery",92,,1868,"Simon Verhoeven,"
19,Frank & Lola,Mystery,88,,1051,"Matthew M. Ross,"
20,Mechanic: Resurrection,"Action,Adventure,Mystery",110,60,23846,"Dennis Gansel,"
21,The Brand New Testament (Le tout nouveau testament),Comedy,112,,1362,"Jaco Van Dormael,"
22,Kubo and the Two Strings,"Action,Adventure,Animation,Science Fiction,Fantasy",101,84,27524,"Travis Knight (II) ,"
23,War Dogs,"Comedy,Drama",114,74,24022,"Todd Phillips,"
24,Hell or High Water,Drama,102,84,27217,"David Mackenzie,"
25,Hands of Stone,"Action,Adventure,Drama",105,72,4334,"Jonathan Jakubowicz,"
26,The BFG,"Kids,Family,Science Fiction,Fantasy",115,70,33388,"Steven Spielberg,"
27,Don't Breathe,"Horror,Mystery",88,78,32310,"Fede Alvarez,"
28,Absolutely Fabulous: The Movie,Comedy,86,62,6632,"Mandie Fletcher,"
29,Pete's Dragon,"Animation,Kids,Family",90,78,31891,"David Lowery,"
30,The Wild Life,"Action,Adventure,Animation,Comedy",90,50,2583,"Vincent Kesteloot,"
31,The Manchurian Candidate,"Classics,Drama,Mystery",127,78,30891,"John Frankenheimer,"
32,The Impostors,Comedy,101,68,3733,"Stanley Tucci,"
33,Star Wars: Episode IV - A New Hope,"Action,Adventure,Mystery,Science Fiction,Fantasy",125,82,854008,"George Lucas,"
34,Animal Crackers,"Classics,Comedy",98,78,10181,"Victor Heerman,"
35,Kung Fu Hustle,"Action,Adventure,Art House,International,Comedy,Drama,Romance",95,72,227370,"Stephen Chow,"
36,Rushmore,Comedy,93,76,185136,"Wes Anderson,"
37,Joe Versus the Volcano,"Comedy,Science Fiction,Fantasy",106,56,49737,"John Patrick Shanley,"
38,Love Actually,"Comedy,Romance",135,62,31625875,"Richard Curtis,"
39,Network,"Comedy,Drama",121,84,35672,"Sidney Lumet,"
40,Glitter,"Drama,Musical,Performing Arts",104,42,44333,"Vondie Curtis-Hall,"
41,Shadows,"Classics,Drama,Romance",81,78,4498,"John Cassavetes,"
42,Pulp Fiction,Drama,154,84,1122484,"Quentin Tarantino,"
43,Pather Panchali,"Art House,International,Drama",126,88,5842,"Satyajit Ray,"
44,La Dolce Vita,"Art House,International,Comedy,Drama",174,84,33626,"Federico Fellini,"
45,Trespass Against Us,"Action,Adventure,Art House,International,Drama",99,62,129,"Adam Smith,"
46,The Ivory Game,Documentary,112,82,127,"Richard Ladkani,Kief Davidson,"
47,Batman: Return Of The Caped Crusaders,,72,76,242,"Rick Morales,"
48,Into the Inferno,Documentary,107,74,282,"Werner Herzog,"
49,I Am the Pretty Thing That Lives in the House,"Drama,Horror,Mystery",87,46,267,"Oz Perkins,"
50,Stalkher,"Art House,International,Comedy,Mystery,Romance",90,52,28,"Kaarin Fairfax (II),John Jarratt,"
51,Orange Sunshine,"Action,Adventure,Documentary",105,,51,"William A. Kirkley,"
52,Mascots,Comedy,120,58,464,"Christopher Guest,"
53,Justin Timberlake + The Tennessee Kids,"Documentary,Musical,Performing Arts",90,82,110,"Jonathan Demme,"
54,Amanda Knox,Documentary,92,72,668,"Rod Blackhurst,Brian McGinn,"
55,The Secret Life of Pets,"Animation,Comedy",90,72,74579,"Yarrow Cheney,Chris Renaud,"
56,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127,72,30138,"Tim Burton,"
57,Jason Bourne,"Action,Adventure,Drama",123,68,52696,"Paul Greengrass,"
58,Suicide Squad,"Action,Adventure",123,72,131065,"David Ayer,"
59,Sully,"Action,Adventure,Drama",96,82,35558,"Clint Eastwood,"
60,The Magnificent Seven,"Action,Adventure,Drama,Western",132,76,39207,"Antoine Fuqua,"
61,Snowden,Drama,134,76,22318,"Oliver Stone,"
62,Storks,"Animation,Comedy,Kids,Family",87,74,19838,"Nicholas Stoller,Doug Sweetland,"
63,The Girl on the Train,"Drama,Mystery",112,66,26683,"Tate Taylor,"
64,Deepwater Horizon,"Action,Adventure,Drama",99,80,35679,"Peter Berg,"
65,Nocturnal Animals,"Drama,Mystery",115,78,10494,"Tom Ford (VIII) ,"
66,The Light Between Oceans,"Drama,Romance",132,72,11113,"Derek Cianfrance,"
67,One-Eyed Jacks,"Action,Adventure,Drama,Western",141,70,2917,"Marlon Brando,"
68,The Squid and the Whale,"Art House,International,Drama",81,74,78329,"Noah Baumbach,"
69,J'Accuse! (I Accuse) (That They May Live),"Art House,International,Drama,Horror,Science Fiction,Fantasy",125,66,51,"Abel Gance,"
70,Slash,Comedy,100,,86,"Clay Liford,"
71,The Bounce Back,"Comedy,Romance",104,,921,"Youssef Delara,"
72,Abattoir,Horror,98,,143,"Darren Lynn Bousman,"
73,Rogue One: A Star Wars Story,"Action,Adventure,Drama,Science Fiction,Fantasy",133,,27854,"Gareth Edwards,"
74,Solace,"Drama,Mystery",101,,2911,"Afonso Poyart,"
75,Collateral Beauty,Drama,94,,7060,"David Frankel,"
76,Assassin's Creed,"Action,Adventure,Drama",116,,39334,"Justin Kurzel,"
77,Neruda,Drama,107,,650,"Pablo Larran,"
78,A Kind of Murder,Drama,95,,75,"Andy Goddard,"
79,The Hollow Point,Drama,97,,55,"Gonzalo Lpez-Gallego,"
80,Passengers,"Action,Adventure,Drama,Science Fiction,Fantasy",,,17997,"Morten Tyldum,"
81,Sing,"Animation,Comedy,Musical,Performing Arts",108,,6386,"Garth Jennings,"
82,Silence,Drama,,,1226,"Martin Scorsese,"
83,Patriots Day,Drama,130,,1230,"Peter Berg,"
84,Julieta,"Art House,International,Drama",96,,1053,"Pedro Almodvar,"
85,The Autopsy of Jane Doe,"Art House,International,Horror",99,,418,"Andr Ovredal,"
86,A Monster Calls,"Comedy,Drama,Science Fiction,Fantasy",108,,10277,"J.A. Bayona,"
87,Fences,Drama,,,1826,"Denzel Washington,"
88,"I, Daniel Blake","Art House,International,Drama",100,,2131,"Ken Loach,"
89,Gold,Drama,120,,674,"Stephen Gaghan,"
90,Live By Night,Drama,,,5718,"Ben Affleck,"
91,Why Him?,Comedy,,,5420,"John Hamburg,"
92,20th Century Women,,118,,527,"Mike Mills,"
93,Toni Erdmann,"Art House,International,Drama",162,,453,"Maren Ade,"
94,Paterson,"Comedy,Drama",115,,975,"Jim Jarmusch,"
95,Loving,Drama,123,78,9803,"Jeff Nichols,"
96,The Accountant,Drama,128,80,33264,"Gavin O'Connor,"
97,Moonlight,Drama,110,88,11072,"Barry Jenkins,"
98,Dear Zindagi,Comedy,150,82,252,"Gauri Shinde,"
99,Jack Reacher: Never Go Back,"Action,Adventure,Drama",118,64,24899,"Edward Zwick,"
100,Boo! A Madea Halloween,"Comedy,Drama,Horror",103,68,9626,"Tyler Perry,"
101,The Eagle Huntress,Documentary,87,84,2688,"Otto Bell,"
102,Billy Lynn's Long Halftime Walk,Drama,110,68,5135,"Ang Lee,"
103,Inferno,"Action,Adventure,Drama,Mystery",121,60,24649,"Ron Howard,"
104,Lion,Drama,120,80,2651,"Garth Davis,"
105,Bleed For This,"Drama,Sports,Fitness",116,74,6385,"Ben Younger,"
106,Manchester by the Sea,Drama,135,94,11365,"Kenneth Lonergan,"
107,Shut In,Mystery,91,46,3683,"Farren Blackburn,"
108,Elle,"Art House,International,Drama,Mystery",130,74,2508,"Paul Verhoeven,"
109,Rules Don't Apply,"Comedy,Drama,Romance",,58,2165,"Warren Beatty,"
110,A Man Called Ove (En man som heter Ove),"Art House,International,Comedy,Drama",116,84,4210,"Hannes Holm,"
111,Middle School: The Worst Years of My Life,Comedy,92,72,3903,"Steve Carr,"
112,The Handmaiden (Ah-ga-ssi),"Art House,International,Drama,Romance",145,86,4481,"Chan-wook Park,"
113,I Am Not Madame Bovary,"Art House,International,Comedy,Drama",128,70,306,"Feng Xiaogang,"
114,Keeping Up With The Joneses,Comedy,101,62,9673,"Greg Mottola,"
115,Miss Sloane,Mystery,132,72,2279,"John Madden,"
116,Seasons (Les saisons),Documentary,95,60,171,"Jacques Cluzaud,Jacques Perrin,"
117,The Love Witch,"Drama,Horror,Mystery",120,74,790,"Anna Biller,"
118,Denial,Drama,110,74,5087,"Mick Jackson,"
119,Queen of Katwe,Drama,124,84,8198,"Mira Nair,"
120,Harry & Snowman,"Documentary,Drama",84,84,1445,"Ron Davis,"
121,Certain Women,Drama,107,60,4014,"Kelly Reichardt,"
