Id,Title,Category,Duration,Rating,Rating_Count,Director
0,Ouija: Origin of Evil,"Horror,Mystery",99,70,428,Mike Flanagan
1,Doctor Strange,"Action,Adventure,Fantasy",115,87,789,Scott Derrickson
2,Keeping Up with the Joneses,"Action,Comedy",105,54,273,Greg Mottola
3,Ghostbusters,"Action,Comedy,Fantasy",116,54,103762,Paul Feig
4,Star Trek Beyond,"Action,Adventure,Sci-Fi",122,73,97109,Justin Lin
5,Uncle Buck,Comedy,30,59,97,Tim O'Donnell
6,Jack Reacher: Never Go Back,"Action,Adventure,Crime",118,67,2086,Edward Zwick
7,Boo! A Madea Halloween,"Comedy,Horror",103,61,127,Tyler Perry
8,Wonder Woman,"Action,Adventure,Drama",60,71,4320,"William Moulton Marston,Stanley Ralph Ross"
9,The Walking Dead,"Drama,Horror,Sci-Fi",44,86,649505,Frank Darabont
10,The Thundermans,"Action,Comedy,Family",23,58,1681,Jed Spingarn
11,Saturday Night Live,"Comedy,Musical",90,82,33290,Lorne Michaels
12,I'm Not Ashamed,"Biography,Drama",112,75,48,Brian Baugh
13,Star Wars Rebels,"Animation,Action,Adventure",30,80,12771,"Simon Kinberg,Carrie Beck,Dave Filoni"
14,We Are X,"Documentary,Musical",93,88,71,Stephen Kijak
15,The Handmaiden,"Drama,Romance",144,80,4743,Chan-wook Park
16,Oasis: Supersonic,"Documentary,Musical",122,86,543,Mat Whitecross
17,Gimme Danger,Documentary,108,71,192,Jim Jarmusch
18,Ae Dil Hai Mushkil,"Drama,Musical,Romance",0,,,Karan Johar
19,Inferno,"Action,Adventure,Crime",121,65,14017,Ron Howard
20,Deepwater Horizon,"Action,Drama,Mystery",107,75,16701,Peter Berg
21,Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",127,71,24330,Tim Burton
22,Kevin Hart: What Now?,"Documentary,Comedy",96,57,632,"Leslie Small,Tim Story"
23,The Girl on the Train,Mystery,112,67,16628,Tate Taylor
24,School of Rock,"Comedy,Family,Musical",30,45,361,"Jim Armogida,Steve Armogida"
25,The Accountant,"Action,Crime,Drama",128,78,9098,Gavin O'Connor
26,Moonlight,Drama,110,83,713,Barry Jenkins
27,Dirk Gently's Holistic Detective Agency,"Comedy,Sci-Fi",60,,,Max Landis
28,31,"Horror,Mystery",102,52,5245,Rob Zombie
29,American Pastoral,"Crime,Drama",126,61,323,Ewan McGregor
30,The Tonight Show with Jay Leno,"Comedy,Musical,Television",62,53,8771,
31,The Late Show with Stephen Colbert,"Comedy,Television",62,78,3590,
32,Endless Poetry,"Biography,Drama,Fantasy",128,76,311,Alejandro Jodorowsky
33,The Age of Shadows,"Action,Drama,Mystery",140,75,387,Jee-woon Kim
34,The Untamed,Drama,100,67,139,Amat Escalante
35,"I, Daniel Blake",Drama,100,81,1244,Ken Loach
36,Paterson,"Comedy,Drama",113,77,924,Jim Jarmusch
37,Heart of a Dog,Documentary,75,73,886,Laurie Anderson
38,Hillary Clinton/Terry Crews/Ariana Grande,"Comedy,Musical,Television",40,85,11,Dave Diomedi
39,Certain Women,Drama,107,65,1161,Kelly Reichardt
40,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",152,75,452864,Chris Columbus
41,Deepwater Horizon/Miss Peregrine's Home for Peculiar Children,"Comedy,Television",50,,,
42,Episode dated 18 October 2016,Television,56,,,
43,The Town,"Crime,Drama,Mystery",125,76,283845,Ben Affleck
44,School of Rock,"Comedy,Family,Musical",108,71,213762,Richard Linklater
45,Saige Paints the Sky,Family,100,62,306,Vince Marcello
46,Danny DeVito/Ewan McGregor/Sam Neill/Miranda Hart/John Bishop/Amber Riley,"Comedy,Television",60,,,
47,A Monster Calls,"Drama,Fantasy",108,78,1716,J.A. Bayona
48,Pet,Mystery,94,67,177,Carles Torrens
49,The Wolf Man,Horror,70,74,16698,George Waggner
50,As You Are,Drama,110,68,124,Miles Joris-Peyrafitte
51,LBJ,Drama,98,78,65,Rob Reiner
52,The Good Neighbor,Mystery,98,62,3361,Kasra Farahani
53,Don't Breathe,"Crime,Horror,Mystery",88,74,44740,Fede Alvarez
54,Friend Request,"Horror,Mystery",92,55,7455,Simon Verhoeven
55,Halloween II,Horror,105,49,37022,Rob Zombie
56,Lights Out,"Horror,Mystery",81,65,35815,David F. Sandberg
57,The Lords of Salem,"Drama,Fantasy,Horror",101,51,20945,Rob Zombie
58,The Neighbor,"Crime,Horror,Mystery",87,59,1899,Marcus Dunstan
59,House of 1000 Corpses,Horror,89,60,61634,Rob Zombie
60,The Devil's Rejects,"Crime,Horror",107,69,77416,Rob Zombie
61,The Hitchhiker's Guide to the Galaxy,"Adventure,Comedy,Sci-Fi",109,68,157449,Garth Jennings
62,Untitled Macon Blair Project,Crime,0,,,Macon Blair
63,Untitled Max Landis Project,Adventure,0,,,
64,Bright,Fantasy,0,,,David Ayer
65,Houdini,Drama,0,,,
66,Amnesty,"Adventure,Mystery",0,,,
67,Pied Piper,"Fantasy,Mystery",0,,,
68,Good Time Gang,"Action,Comedy",0,,,
69,One in Five,"Short,Drama,Mystery",17,,,Mark Davenport
70,The Death and Return of Superman,"Short,Comedy,Sci-Fi",17,78,921,Max Landis
71,Me Him Her,"Comedy,Romance",98,53,703,Max Landis
72,Wrestling Isn't Wrestling,"Documentary,Short,Comedy",25,87,568,Max Landis
73,Horizons,"Comedy,Sci-Fi",60,,,Dean Parisot
74,Dirk Gently,"Comedy,Crime,Sci-Fi",58,78,1537,Howard Overman
75,Spectre,"Action,Adventure,Mystery",148,68,285431,Sam Mendes
76,Loving,"Biography,Drama",123,65,603,Jeff Nichols
77,Christine,"Biography,Drama",115,72,370,Antonio Campos
78,Free Fire,"Action,Crime,Drama",90,75,256,Ben Wheatley
79,Lion,Drama,120,76,382,Garth Davis
80,Stuck in the Middle,"Comedy,Family",30,57,461,"Linda Videtti Figueiredo,Alison Brown"
81,Una,Drama,94,73,190,Benedict Andrews
82,Kirby Buckets,Family,23,46,261,"Mike Alber,Gabe Snyder"
83,McKenna Shoots for the Stars,"Drama,Family,Sport",93,60,451,Vince Marcello
84,One Crazy Cruise,"Comedy,Family",67,51,159,Michael Grossman
85,Bizaardvark,"Comedy,Family",30,50,289,"Josh Lehrman,Kyle Stegina"
86,"We Can Be Heroes, Sort Of","Comedy,Family,Musical",21,77,17,Savage Steve Holland
87,Should I Stay or Should I Go?,"Comedy,Family,Musical",22,78,20,Sean K. Lambert
88,Wouldn't It Be Nice?,"Comedy,Family,Musical",22,90,5,Trevor Kirschner
89,Middle School: The Worst Years of My Life/The Girl on the Train,"Comedy,Television",47,,,
90,Web Therapy,Comedy,22,67,3383,"Dan Bucatinsky,Lisa Kudrow,Don Roos"
91,The Light Between Oceans,"Drama,Romance",133,73,3720,Derek Cianfrance
92,Kevin Hart/Noel Fielding/Joshua Topolsky,"Comedy,Musical,Television",41,66,10,
93,The Thinning,Mystery,90,81,558,Michael J. Gallagher
