label, _id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director
-1,37446,12442,3157,War of the Arrows,"Action,History",122,72.0,8662.0,Han-min Kim,Land of the Little People,"Art House,International",0,,4,"Yaniv Berman,"
-1,2134,697,1222,George of the Jungle,"Animation,Family,Comedy",30,71.0,584.0,,Norm of the North,"Action,Adventure,Animation,Comedy",86.0,40.0,7519,"Trevor Wall,"
-1,28106,9138,16092,Dark Matter,Drama,88,62.0,2756.0,Shi-Zheng Chen,Dark Harbor,"Drama,Mystery",88.0,68.0,2661,"Adam Coleman Howard,"
-1,31624,10364,18868,In the House,Comedy,30,71.0,516.0,Winifred Hervey,Irish Country House,"Documentary,Special Interest",58.0,,5,
-1,37884,12549,11641,Super Sweet 16: The Movie,Comedy,0,38.0,1329.0,Neema Barnette,Not Another Teen Movie,Comedy,89.0,60.0,442310,"Joel Gallen,"
-1,971,280,4698,Reach the Rock,"Comedy,Drama",100,68.0,751.0,Bill Ryan,Rock the Kasbah,Drama,100.0,52.0,11527,"Barry Levinson,"
-1,13505,4458,14280,They Were Five,Drama,101,77.0,524.0,Julien Duvivier,Dinner For Five,Drama,314.0,66.0,40,"Jon Favreau,"
-1,30314,9882,6358,Reading the Book of the Senseless,"Short,Horror",6,40.0,9.0,Nikolay Yeriomin,Battle of the Sexes,,0,,43,"Jonathan Dayton,Valerie Faris,"
-1,53300,17851,16042,Death Takes a Time-Share,"Comedy,Musical,Television",60,85.0,15.0,,Death of a Salesman,"Classics,Drama",115.0,72.0,192,"Laslo Benedek,"
-1,32196,10558,6628,The Hotwives of Las Vegas,Comedy,30,61.0,255.0,"Dannah Feinglass Phirman,Danielle Schneider",Vera: Life of a Diva,"Musical,Performing Arts",0,,8,
-1,53973,18189,13286,In Search of the Castaways,"Adventure,Family,Fantasy",98,67.0,2056.0,Robert Stevenson,Return of the Borrowers,"Kids,Family",165.0,,14,
-1,18186,6126,11694,George of the Jungle,"Animation,Adventure,Comedy",0,43.0,618.0,,Weight of the Nation,Documentary,0,84.0,24,"Dan Chaykin,"
