label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director
0,9361,13312,482,Day of the Dove,"Action,Adventure,Mystery",51,80,1143,Marvin J. Chomsky,Enemy of the State,"Action,Adventure,Mystery",150,70,372512,"Tony Scott,"
1,533,512,7988,Grumpy Old Men,"Comedy,Drama,Romance",103,69,34973,Donald Petrie,Grumpy Old Men,"Comedy,Drama",103,64,154021,"Donald Petrie,"
0,7026,9308,8970,American Gladiators,"Action,Television,Sport",60,66,1516,,American Splendor,"Art House,International,Comedy,Drama",100,74,44354,"Robert Pulcini,Shari Springer Berman,"
1,7906,10728,5738,Iceman,"Drama,Sci-Fi",100,61,4148,Fred Schepisi,Iceman,"Drama,Science Fiction,Fantasy",101,60,3130,"Fred Schepisi,"
1,9471,13447,2805,Tom & Viv,"Biography,Drama,Romance",115,65,1304,Brian Gilbert,Tom & Viv,"Drama,Romance",125,66,1304,"Brian Gilbert,"
0,243,247,9845,Challenge of the Superfriends,"Animation,Action,Family",30,78,965,,Revenge of the Nerds,Comedy,90,66,56267,"Jeff Kanew,"
0,3376,4117,995,The Black Adder,Comedy,195,82,27200,,The Black Cauldron,"Action,Adventure,Animation,Kids,Family,Science Fiction,Fantasy",82,62,45423,"Ted Berman,Richard Rich,"
0,7578,10099,8072,Wonder Woman,"Action,Adventure,Fantasy",45,45,1440,Jeffrey Reiner,Wonder Woman,"Action,Adventure,Science Fiction,Fantasy",,,5555,"Patty Jenkins,"
0,13325,21331,17555,The Book of Pooh,Family,30,63,352,,The Sign of Four,"Action,Adventure,Mystery",90,62,16,"Rodney Gibbons,"
0,8049,10995,14813,The Year of the Mouse,"Animation,Family,Short",6,68,191,"Chuck Jones,Maurice Noble",Trial of the Moke,Drama,90,,15,
1,13493,21673,12898,The Karate Kid,"Action,Drama,Family",140,62,121641,Harald Zwart,The Karate Kid,"Action,Adventure,Drama,Kids,Family",140,70,282304,"Harald Zwart,"
0,4546,5960,19133,The Shannara Chronicles,"Adventure,Fantasy,Sci-Fi",42,75,33270,"Alfred Gough,Miles Millar",Space Rangers Chronicles 3,"Science Fiction,Fantasy",100,,0,
0,10706,16206,7871,Comedy Central Roast of Denis Leary,Comedy,99,67,828,John Fortenberry,Comedy Central Roast of James Franco,"Comedy,Television",70,80,223,
0,13281,21302,11595,Home Makeover,"Animation,Short,Comedy",5,71,900,"Kyle Balda,Samuel Tourneux",The Makeover,"Comedy,Television",,52,76,
0,2625,2803,9454,The Black Hen,Drama,90,76,252,Min Bahadur Bham,The Black Balloon,Drama,102,78,4643,"Elissa Down,"
0,563,544,4377,The Amazing Spider-Man,"Action,Adventure",136,70,457122,Marc Webb,The Amazing Spider-Man 2,"Action,Adventure,Drama,Science Fiction,Fantasy",142,72,220340,"Marc Webb,"
1,8530,11918,12523,The Best of Times,"Comedy,Drama,Sport",104,59,5215,Roger Spottiswoode,The Best of Times,"Comedy,Drama",105,58,6474,"Roger Spottiswoode,"
0,8029,10931,6966,The Other Side of Madness,"Crime,Drama",82,48,149,Frank Howard,The Other Side,Comedy,,,0,
0,5370,6912,14826,The Tenth Man,"Drama,War",100,71,974,Jack Gold,The Meteor Man,"Action,Adventure,Comedy,Science Fiction,Fantasy",100,50,6375,"Robert Townsend,"
1,1246,1400,26,The BFG,"Adventure,Family,Fantasy",117,67,17175,Steven Spielberg,The BFG,"Kids,Family,Science Fiction,Fantasy",115,70,33388,"Steven Spielberg,"
1,4095,5186,14013,Saturday Night Live: The Best of Eddie Murphy,"Documentary,Comedy",77,75,850,"Andy Breckman,Dave Wilson",Saturday Night Live: The Best of Eddie Murphy,Comedy,86,76,4633,"Dave Wilson,"
1,12215,18963,1618,Presenting Princess Shaw,"Documentary,Musical",83,67,248,Ido Haar,Presenting Princess Shaw,"Art House,International,Documentary,Musical,Performing Arts",80,84,343,"Ido Haar,"
0,5917,7585,3571,It's a Wonderful Life,"Drama,Family,Fantasy",130,86,280147,Frank Capra,What a Wonderful World,Drama,,,20,
0,730,681,17712,The New Adventures of Superman,"Animation,Sci-Fi",30,76,415,,The Bawdy Adventures Of Tom Jones,"Action,Adventure,Comedy,Musical,Performing Arts",94,,45,"Cliff Owen,"
0,6887,9129,9653,Wrath of the Titans,News,30,,,,War of the Worlds,"Action,Adventure,Science Fiction,Fantasy",117,58,32518096,"Steven Spielberg,"
0,2272,2560,9606,The Young Ones,Comedy,410,82,10633,,The Young Victoria,Drama,105,70,164477,"Jean-Marc Valle,"
