label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director
-1,9361,13312,482,Day of the Dove,"Action,Adventure,Mystery",51,80.0,1143.0,Marvin J. Chomsky,Enemy of the State,"Action,Adventure,Mystery",150.0,70.0,372512,"Tony Scott,"
-1,533,512,7988,Grumpy Old Men,"Comedy,Drama,Romance",103,69.0,34973.0,Donald Petrie,Grumpy Old Men,"Comedy,Drama",103.0,64.0,154021,"Donald Petrie,"
-1,7026,9308,8970,American Gladiators,"Action,Television,Sport",60,66.0,1516.0,,American Splendor,"Art House,International,Comedy,Drama",100.0,74.0,44354,"Robert Pulcini,Shari Springer Berman,"
-1,7906,10728,5738,Iceman,"Drama,Sci-Fi",100,61.0,4148.0,Fred Schepisi,Iceman,"Drama,Science Fiction,Fantasy",101.0,60.0,3130,"Fred Schepisi,"
-1,9471,13447,2805,Tom & Viv,"Biography,Drama,Romance",115,65.0,1304.0,Brian Gilbert,Tom & Viv,"Drama,Romance",125.0,66.0,1304,"Brian Gilbert,"
-1,243,247,9845,Challenge of the Superfriends,"Animation,Action,Family",30,78.0,965.0,,Revenge of the Nerds,Comedy,90.0,66.0,56267,"Jeff Kanew,"
-1,3376,4117,995,The Black Adder,Comedy,195,82.0,27200.0,,The Black Cauldron,"Action,Adventure,Animation,Kids,Family,Science Fiction,Fantasy",82.0,62.0,45423,"Ted Berman,Richard Rich,"
-1,7578,10099,8072,Wonder Woman,"Action,Adventure,Fantasy",45,45.0,1440.0,Jeffrey Reiner,Wonder Woman,"Action,Adventure,Science Fiction,Fantasy",,,5555,"Patty Jenkins,"
-1,13325,21331,17555,The Book of Pooh,Family,30,63.0,352.0,,The Sign of Four,"Action,Adventure,Mystery",90.0,62.0,16,"Rodney Gibbons,"
-1,8049,10995,14813,The Year of the Mouse,"Animation,Family,Short",6,68.0,191.0,"Chuck Jones,Maurice Noble",Trial of the Moke,Drama,90.0,,15,
-1,13493,21673,12898,The Karate Kid,"Action,Drama,Family",140,62.0,121641.0,Harald Zwart,The Karate Kid,"Action,Adventure,Drama,Kids,Family",140.0,70.0,282304,"Harald Zwart,"
-1,4546,5960,19133,The Shannara Chronicles,"Adventure,Fantasy,Sci-Fi",42,75.0,33270.0,"Alfred Gough,Miles Millar",Space Rangers Chronicles 3,"Science Fiction,Fantasy",100.0,,0,
-1,10706,16206,7871,Comedy Central Roast of Denis Leary,Comedy,99,67.0,828.0,John Fortenberry,Comedy Central Roast of James Franco,"Comedy,Television",70.0,80.0,223,
-1,13281,21302,11595,Home Makeover,"Animation,Short,Comedy",5,71.0,900.0,"Kyle Balda,Samuel Tourneux",The Makeover,"Comedy,Television",,52.0,76,
-1,2625,2803,9454,The Black Hen,Drama,90,76.0,252.0,Min Bahadur Bham,The Black Balloon,Drama,102.0,78.0,4643,"Elissa Down,"
-1,563,544,4377,The Amazing Spider-Man,"Action,Adventure",136,70.0,457122.0,Marc Webb,The Amazing Spider-Man 2,"Action,Adventure,Drama,Science Fiction,Fantasy",142.0,72.0,220340,"Marc Webb,"
-1,8530,11918,12523,The Best of Times,"Comedy,Drama,Sport",104,59.0,5215.0,Roger Spottiswoode,The Best of Times,"Comedy,Drama",105.0,58.0,6474,"Roger Spottiswoode,"
-1,8029,10931,6966,The Other Side of Madness,"Crime,Drama",82,48.0,149.0,Frank Howard,The Other Side,Comedy,,,0,
-1,5370,6912,14826,The Tenth Man,"Drama,War",100,71.0,974.0,Jack Gold,The Meteor Man,"Action,Adventure,Comedy,Science Fiction,Fantasy",100.0,50.0,6375,"Robert Townsend,"
-1,1246,1400,26,The BFG,"Adventure,Family,Fantasy",117,67.0,17175.0,Steven Spielberg,The BFG,"Kids,Family,Science Fiction,Fantasy",115.0,70.0,33388,"Steven Spielberg,"
-1,4095,5186,14013,Saturday Night Live: The Best of Eddie Murphy,"Documentary,Comedy",77,75.0,850.0,"Andy Breckman,Dave Wilson",Saturday Night Live: The Best of Eddie Murphy,Comedy,86.0,76.0,4633,"Dave Wilson,"
-1,12215,18963,1618,Presenting Princess Shaw,"Documentary,Musical",83,67.0,248.0,Ido Haar,Presenting Princess Shaw,"Art House,International,Documentary,Musical,Performing Arts",80.0,84.0,343,"Ido Haar,"
-1,5917,7585,3571,It's a Wonderful Life,"Drama,Family,Fantasy",130,86.0,280147.0,Frank Capra,What a Wonderful World,Drama,,,20,
-1,730,681,17712,The New Adventures of Superman,"Animation,Sci-Fi",30,76.0,415.0,,The Bawdy Adventures Of Tom Jones,"Action,Adventure,Comedy,Musical,Performing Arts",94.0,,45,"Cliff Owen,"
-1,6887,9129,9653,Wrath of the Titans,News,30,,,,War of the Worlds,"Action,Adventure,Science Fiction,Fantasy",117.0,58.0,32518096,"Steven Spielberg,"
-1,2272,2560,9606,The Young Ones,Comedy,410,82.0,10633.0,,The Young Victoria,Drama,105.0,70.0,164477,"Jean-Marc Valle,"
-1,9882,14164,12884,Henry: Portrait of a Serial Killer,"Biography,Crime,Drama",83,70.0,23592.0,John McNaughton,Portrait of a Stripper,Drama,100.0,,11,"John A. Alonzo,"
-1,5817,7490,9299,Gladiator,"Action,Adventure,Drama",155,85.0,999279.0,Ridley Scott,Gladiator,"Action,Adventure,Classics,Drama",171.0,76.0,34126525,"Ridley Scott,"
-1,6252,8020,3360,Gods Behaving Badly,"Comedy,Drama",90,63.0,72.0,Marc Turtletaub,Behaving Badly,"Comedy,Drama",98.0,50.0,3896,"Tim Garrick,"
-1,6901,9144,9963,Main Street,Drama,92,47.0,2170.0,John Doyle,Wall Street,Drama,126.0,72.0,50196,"Oliver Stone,"
-1,4646,6126,16004,George of the Jungle,"Animation,Adventure,Comedy",0,43.0,618.0,,Welcome to the Jungle,Horror,82.0,52.0,1791,"Jonathan Hensleigh,"
-1,11058,16909,9382,Computer Space,"Action,Sci-Fi",0,68.0,10.0,,Computer Chess,Comedy,92.0,64.0,2840,"Andrew Bujalski,"
-1,4297,5544,5100,Parkland,"Drama,History,Mystery",93,63.0,11887.0,Peter Landesman,Parkland,Drama,93.0,64.0,9622,"Peter Landesman,"
-1,7484,9938,14272,Untitled Stan Lee Project,"Action,Adventure",0,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,"
-1,2861,3209,16499,Birds of America,"Comedy,Drama",85,62.0,4864.0,Craig Lucas,Africans in America,"Documentary,Special Interest",90.0,,3,
-1,11237,17160,16996,Love Me,Mystery,97,54.0,730.0,Rick Bota,Love Matters,"Drama,Romance",97.0,,15,"Eb Lottimer,"
-1,4966,6474,254,Iron Man,Comedy,0,74.0,40.0,,Early Man,,,,10,"Nick Park,"
-1,10843,16494,14023,Best Defense,"Comedy,War",94,36.0,4701.0,Willard Huyck,Best Defense,"Action,Adventure,Comedy,Mystery",94.0,48.0,5596,"Willard Huyck,"
-1,5940,7607,14766,Double Team,"Action,Comedy,Sci-Fi",93,47.0,25503.0,Hark Tsui,Double Whammy,"Comedy,Drama",93.0,58.0,1601,"Tom DiCillo,"
-1,2178,2446,3913,House on Haunted Hill,Horror,75,69.0,16325.0,William Castle,House on Haunted Hill,"Horror,Mystery",96.0,58.0,89287,"William Malone,"
-1,7486,9941,2592,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,"
-1,12580,19625,12651,Big Brother,Television,60,43.0,2325.0,,Big Driver,Mystery,120.0,56.0,264,"Mikael Salomon,Michael Salomon,"
-1,3922,5053,1307,Maggie's Plan,"Comedy,Drama,Romance",98,63.0,5965.0,Rebecca Miller,Maggie's Plan,Comedy,98.0,64.0,7290,"Rebecca Miller,"
-1,7203,9528,2592,Untitled Bill & Ted Project,Comedy,0,,,Dean Parisot,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,"
-1,10048,14601,16276,Rabid Dog,"Crime,Drama,Mystery",48,91.0,10808.0,Sam Catlin,Dead Dog,Mystery,,58.0,79,"Christopher Goode,"
-1,6147,7890,17644,Shock Treatment,"Comedy,Musical",94,58.0,3544.0,Jim Sharman,Shock Treatment,"Comedy,Musical,Performing Arts,Television",94.0,66.0,8049,"Jim Sharman,"
-1,725,681,5337,The New Adventures of Superman,"Animation,Sci-Fi",30,76.0,415.0,,The Adventures of Ragtime,,120.0,,1,"William Byron Hillman,"
-1,9550,13627,2867,CBS This Morning,"News,Television",120,54.0,40.0,,Son Of Morning,"Comedy,Drama",81.0,42.0,72,"Yanviz Raz,Yaniv Raz,"
-1,66,63,4626,Untitled Max Landis Project,Adventure,0,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
-1,3860,4932,18555,God's Not Dead,,84,50.0,1715.0,,God's New Plan,"Drama,Television",93.0,64.0,270,"Michael Switzer,"
-1,2195,2474,176,Ghostbusters 2016,"Comedy,Television",51,,,,Ghostbusters,"Action,Adventure,Comedy,Science Fiction,Fantasy",105.0,62.0,112895,"Paul Feig,"
