Id,Title,Category,Duration,Rating,Rating_Count,Director
0,Doctor Strange,"Action,Adventure,Science Fiction,Fantasy",130,86,70975,Scott Derrickson
1,Arrival,"Drama,Mystery,Mystery,Science Fiction,Fantasy",116,82,28264,Denis Villeneuve
2,Sausage Party,"Animation,Comedy",89,64,56549,"Conrad Vernon,Greg Tiernan"
3,Almost Christmas,Comedy,120,80,3288,David E. Talbert
4,Shut In,"Mystery,Mystery",91,48,2931,Farren Blackburn
5,The Monster,"Drama,Horror",,58,1691,Bryan Bertino
6,Trolls,"Animation,Kids,Family",100,78,23056,"Mike Mitchell,Walt Dohrn"
7,Billy Lynn's Long Halftime Walk,Drama,110,74,4353,Ang Lee
8,Hacksaw Ridge,"Action,Adventure,Drama",139,92,19426,Mel Gibson
9,Inferno,"Action,Adventure,Drama,Mystery,Mystery",121,60,23644,Ron Howard
10,Boo! A Madea Halloween,"Comedy,Drama,Horror",103,70,8597,Tyler Perry
11,Ouija: Origin of Evil,"Horror,Mystery,Mystery",99,68,9628,Mike Flanagan
12,The Girl on the Train,"Drama,Mystery,Mystery",112,66,25132,Tate Taylor
13,The Accountant,Drama,128,82,29969,Gavin O'Connor
14,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127,72,28536,Tim Burton
15,Jack Reacher: Never Go Back,"Action,Adventure,Drama",118,64,23305,Edward Zwick
16,Fantastic Beasts and Where to Find Them,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",132,,42869,David Yates (II)
17,Nocturnal Animals,"Drama,Mystery,Mystery",115,,6696,Tom Ford (VIII) 
18,The Edge of Seventeen,"Comedy,Drama",98,,6337,Kelly Fremon Craig
19,Manchester by the Sea,Drama,135,,7113,Kenneth Lonergan
20,Bleed For This,"Drama,Sports,Fitness",116,,3869,Ben Younger
21,Band Of Robbers,"Action,Adventure,Comedy",95,74,768,"Aaron Nee,Adam Nee"
22,Kickboxer: Vengeance,"Action,Adventure,Drama",90,54,438,"John Stockwell,Samuel Cory Timpson"
23,Indignation,Drama,110,86,6552,James Schamus
24,Dog Eat Dog,"Action,Adventure,Mystery,Mystery",95,54,241,Paul Schrader
25,Finding Dory,Animation,100,84,173369,"Andrew Stanton,Angus MacLane"
26,Mia Madre,"Art House,International,Comedy,Drama",107,70,2032,Nanni Moretti
27,Life on the Line,"Action,Adventure,Drama",98,,63,David Hackl
28,Cardboard Boxer,Drama,88,84,62,Knate Gwaltney
29,Army of One,Comedy,92,56,236,Larry Charles
30,The Autopsy of Jane Doe,"Art House,International,Horror",99,,171,Andr Ovredal
31,The Meddler,"Comedy,Drama",100,68,8284,Lorene Scafaria
32,The Beautiful Blonde From Bashful Bend,"Classics,Comedy,Drama,Western,Romance",77,66,220,Preston Sturges
33,Wadjda,Drama,100,82,13271,"Haifaa Al-Mansour,Haiffa al Mansour"
34,Bride of Re-Animator,"Comedy,Horror,Science Fiction,Fantasy",96,62,7853,Brian Yuzna
35,The Manchurian Candidate,"Classics,Drama,Mystery,Mystery",127,78,30853,John Frankenheimer
36,Star Wars: Episode IV - A New Hope,"Action,Adventure,Mystery,Mystery,Science Fiction,Fantasy",125,82,854008,George Lucas
37,Animal Crackers,"Classics,Comedy",98,78,10181,Victor Heerman
38,Kung Fu Hustle,"Action,Adventure,Art House,International,Comedy,Drama,Romance",95,72,227370,Stephen Chow
39,The Impostors,Comedy,101,68,3733,Stanley Tucci
40,Rushmore,Comedy,93,76,185136,Wes Anderson
41,Joe Versus the Volcano,"Comedy,Science Fiction,Fantasy",106,56,49737,John Patrick Shanley
42,Glitter,"Drama,Musical,Performing Arts",104,42,44325,Vondie Curtis-Hall
43,Love Actually,"Comedy,Romance",135,62,31625875,Richard Curtis
44,Network,"Comedy,Drama",121,84,35672,Sidney Lumet
45,Pulp Fiction,Drama,154,84,1122484,Quentin Tarantino
46,Shadows,"Classics,Drama,Romance",81,78,4486,John Cassavetes
47,Pather Panchali,"Art House,International,Drama",126,88,5842,Satyajit Ray
48,La Dolce Vita,"Art House,International,Comedy,Drama",174,84,33626,Federico Fellini
49,Arrival,"Drama,Mystery,Mystery,Science Fiction,Fantasy",116,82,28264,Denis Villeneuve
50,Almost Christmas,Comedy,120,80,3290,David E. Talbert
51,Shut In,"Mystery,Mystery",91,48,2931,Farren Blackburn
52,Doctor Strange,"Action,Adventure,Science Fiction,Fantasy",130,86,70975,Scott Derrickson
53,Hacksaw Ridge,"Action,Adventure,Drama",139,92,19426,Mel Gibson
54,Trolls,"Animation,Kids,Family",100,78,23056,"Mike Mitchell,Walt Dohrn"
55,Inferno,"Action,Adventure,Drama,Mystery,Mystery",121,60,23644,Ron Howard
56,The Accountant,Drama,128,82,29969,Gavin O'Connor
57,Boo! A Madea Halloween,"Comedy,Drama,Horror",103,70,8597,Tyler Perry
58,Jack Reacher: Never Go Back,"Action,Adventure,Drama",118,64,23305,Edward Zwick
59,Ouija: Origin of Evil,"Horror,Mystery,Mystery",99,68,9628,Mike Flanagan
60,The Girl on the Train,"Drama,Mystery,Mystery",112,66,25132,Tate Taylor
61,Notes on Blindness,"Documentary,Special Interest",90,,895,"James Spinney,Peter Middleton"
62,The Edge of Seventeen,"Comedy,Drama",98,,6343,Kelly Fremon Craig
63,Nocturnal Animals,"Drama,Mystery,Mystery",115,,6696,Tom Ford (VIII) 
64,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127,72,28536,Tim Burton
65,Bleed For This,"Drama,Sports,Fitness",116,,3869,Ben Younger
66,Fantastic Beasts and Where to Find Them,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",132,,42869,David Yates (II)
67,The Take (Bastille Day),"Action,Adventure,Art House,International,Drama",92,,3194,James Watkins
68,Manchester by the Sea,Drama,135,,7116,Kenneth Lonergan
69,Moana,"Action,Adventure,Animation,Kids,Family",103,,19623,"Ron Clements,John Musker"
70,Allied,"Drama,Mystery,Mystery,Romance",121,,6975,Robert Zemeckis
71,Friend Request,"Art House,International,Horror,Mystery,Mystery",92,,1527,Simon Verhoeven
72,A Street Cat Named Bob,"Comedy,Drama",103,,1087,Roger Spottiswoode
73,Bad Santa 2,Comedy,92,,3424,Mark Waters (VIII)
74,Rules Don't Apply,"Comedy,Drama,Romance",,,1119,Warren Beatty
75,Lion,Drama,120,,1417,Garth Davis
76,Miss Sloane,"Mystery,Mystery",,,1198,John Madden
77,Evolution,"Art House,International,Drama",81,,920,Lucile Hadzihalilovic
78,Always Shine,"Mystery,Mystery",85,,102,Sophia Takal
79,Kill Command,"Action,Adventure,Drama,Science Fiction,Fantasy",99,,924,Steven Gomez
80,Bobby Sands: 66 Days,Drama,105,,111,Brendan J Byrne
81,Jackie,Drama,95,,2571,Pablo Larran
82,Incarnate,Horror,,,363,Brad Peyton
83,Man Down,Drama,90,,677,Dito Montiel
84,Things to Come (L'avenir),"Art House,International,Drama",100,,521,"Mia Hansen-Love,Mia Hansen-Lve"
85,The Eyes of My Mother,"Drama,Horror",77,,414,Nicolas Pesce
86,Pet,"Mystery,Mystery",90,,78,Carles Torrens
87,La La Land,"Comedy,Drama,Musical,Performing Arts",,,7863,Damien Chazelle
88,The Bounce Back,"Comedy,Romance",104,,500,Youssef Delara
89,Frank & Lola,"Mystery,Mystery",88,,236,Matthew M. Ross
90,The Brand New Testament (Le tout nouveau testament),Comedy,112,,880,Jaco Van Dormael
91,Slash,Comedy,100,,69,Clay Liford
92,Moonlight,Drama,110,90,7546,Barry Jenkins
93,Keeping Up With The Joneses,Comedy,101,64,9004,Greg Mottola
94,Ae Dil Hai Mushkil,"Drama,Musical,Performing Arts,Romance",158,60,699,Karan Johar
95,Sully,"Action,Adventure,Drama",96,82,33560,Clint Eastwood
96,Storks,"Animation,Comedy,Kids,Family",87,74,19099,"Nicholas Stoller,Doug Sweetland"
